"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
3.396911620E-1	-8.136324584E-3	1.921622455E-2	4.144668579E-2	4.640356481E-2
3.447570800E-1	-3.528493643E-2	1.421493292E-2	5.739116669E-2	6.885373679E-2
3.498229980E-1	-2.542982996E-2	-1.669122279E-2	1.174068451E-2	3.260547258E-2
3.548889160E-1	-3.795243800E-3	1.059153676E-2	2.140998840E-3	1.145287748E-2
3.599548340E-1	4.520956427E-3	-4.967346787E-3	-3.215503693E-2	3.284904840E-2
3.650207520E-1	6.758764386E-3	-2.499884367E-2	-1.282024384E-2	2.889605047E-2
3.700866700E-1	1.009186730E-2	-6.957307458E-3	3.423690796E-4	1.226242754E-2
3.751525880E-1	8.706834167E-3	6.070166826E-3	1.097106934E-2	1.526500078E-2
3.802185060E-1	1.676549017E-2	2.720476687E-2	-1.872825623E-2	3.703955430E-2
3.853149420E-1	1.170659438E-2	3.517919779E-2	6.338119507E-3	3.761372180E-2
3.903808600E-1	-2.702292055E-3	-1.486979425E-2	1.335906982E-2	2.017121489E-2
3.954467780E-1	4.415050149E-3	-2.297307551E-2	2.027988434E-2	3.096011264E-2
4.005432130E-1	-1.451790333E-2	-6.154179573E-3	2.240276337E-2	2.739575240E-2
4.056091310E-1	2.348601073E-2	-9.685784578E-3	1.741504669E-2	3.080082749E-2
4.106750490E-1	2.082622051E-2	1.402644813E-2	7.738113403E-3	2.627453343E-2
4.157409670E-1	1.591198146E-3	-9.860634804E-3	1.119041443E-2	1.499964684E-2
4.208068850E-1	6.294231862E-3	2.460935712E-2	-3.035640717E-2	3.958218373E-2
4.258728030E-1	1.469850540E-3	1.489822567E-2	-1.936054230E-2	2.447341796E-2
4.309387210E-1	3.807179630E-3	1.010206342E-2	2.584934235E-2	2.801311839E-2
4.360351560E-1	-1.044790447E-2	-2.425937355E-2	-5.218505859E-3	2.692412888E-2
4.411010740E-1	-8.858405054E-4	1.147033274E-2	5.491256714E-3	1.274782911E-2
4.461669920E-1	-1.628822461E-2	8.915126324E-3	3.384971619E-2	3.860814712E-2
4.512329100E-1	-7.877968252E-3	-5.446016788E-3	2.519702911E-2	2.695573703E-2
4.562988280E-1	-1.890070736E-3	-1.138257980E-2	3.795528412E-2	3.967038042E-2
4.613647460E-1	-6.575375795E-3	2.189841866E-2	8.373260498E-4	2.287962897E-2
4.664306640E-1	-4.153437912E-3	1.223002374E-2	5.556106567E-3	1.406039997E-2
4.715271000E-1	1.250783727E-2	1.683603227E-2	-5.163192749E-3	2.159991979E-2
4.765930180E-1	7.571984082E-3	3.568857908E-3	5.550384521E-3	1.004382686E-2
4.816589360E-1	-1.492309943E-2	-9.460315108E-3	-2.797126770E-3	1.788911336E-2
4.867248540E-1	-1.468651369E-2	1.432642341E-2	-3.831386566E-2	4.346138969E-2
4.917907720E-1	-1.327417046E-2	2.330407500E-3	-4.757881165E-3	1.429236977E-2
4.968872070E-1	6.996642798E-3	-2.028205991E-2	1.663589478E-2	2.714899555E-2
5.019531250E-1	-1.087141037E-2	-1.884940267E-2	1.410293579E-2	2.593029777E-2
5.070190430E-1	-5.976855755E-5	-5.584642291E-3	-1.448822021E-2	1.552740567E-2
5.120849610E-1	4.722088575E-3	3.471492231E-2	-4.400348663E-2	5.624705137E-2
5.171508790E-1	-3.531940281E-3	-2.433329821E-3	-3.764915466E-2	3.789267136E-2
5.222167970E-1	-1.650970429E-2	2.378344536E-3	-7.999992371E-2	8.172034417E-2
5.272827150E-1	1.595682651E-2	-3.424987197E-3	-1.164913177E-2	2.005126232E-2
5.323791510E-1	6.680749357E-3	5.000755191E-3	2.879810333E-2	2.998284043E-2
5.374450690E-1	-7.277671248E-3	9.847998619E-3	-9.425163269E-3	1.545254925E-2
5.425109870E-1	-2.362556383E-2	4.409925640E-2	-4.592895508E-3	5.023949015E-2
5.475769050E-1	5.253255367E-3	-7.327705622E-3	1.087379456E-2	1.412555732E-2
5.526428230E-1	-4.254098982E-3	1.645657420E-2	6.029129028E-3	1.803514872E-2
5.577087400E-1	1.593321562E-3	9.142234921E-3	-1.149177551E-3	9.350921987E-3
5.627746580E-1	-1.519964263E-2	1.136113703E-2	2.021694183E-2	2.772777142E-2
5.678710940E-1	-2.004116774E-2	-6.640419364E-3	-1.258850098E-4	2.111301543E-2
5.729370120E-1	-1.539148018E-2	-3.142014146E-3	1.292705536E-2	2.034400834E-2
5.780029300E-1	8.254632354E-3	-8.531361818E-4	1.756477356E-2	1.942647850E-2
5.830688480E-1	1.751655340E-2	9.672075510E-3	3.159523010E-3	2.025737578E-2
5.881347660E-1	-1.713731512E-2	-7.084131241E-3	-5.175590515E-3	1.925251210E-2
5.932006840E-1	1.257599890E-2	1.190356910E-2	-3.718280792E-2	4.101721481E-2
