"Time (s)"	"Latitude (°)"	"Longitude (°)"	"Height (m)"	"Height WGS84 (m)"	"Speed (m/s)"	"Direction (°)"	"Distance (km)"	"Horizontal Accuracy (m)"	"Vertical Accuracy (m)"	"Satellites"
3.140386160E1	4.947832695E1	8.487603300E0	9.415065999E1	1.430000000E2	7.190000057E0	5.199999809E0	2.237634901E-1	5.360000134E0	6.000000000E0	1.700000000E1
3.240809567E1	4.947840392E1	8.487651660E0	9.515074702E1	1.440000000E2	7.719999790E0	1.550000000E1	2.325962730E-1	7.504000187E0	6.000000000E0	1.700000000E1
3.341797587E1	4.947847132E1	8.487716360E0	9.515082655E1	1.440000000E2	8.170000076E0	2.470000076E1	2.365453360E-1	6.432000160E0	6.000000000E0	1.700000000E1
3.441837947E1	4.947846173E1	8.487768990E0	9.115082443E1	1.400000000E2	6.809999943E0	3.070000076E1	2.443644536E-1	5.360000134E0	6.000000000E0	1.400000000E1
3.540864665E1	4.947852401E1	8.487819240E0	9.315089650E1	1.420000000E2	6.510000229E0	3.270000076E1	2.507973449E-1	5.360000134E0	6.000000000E0	1.300000000E1
3.640252624E1	4.947857251E1	8.487867780E0	9.315095403E1	1.420000000E2	5.510000229E0	3.329999924E1	2.569647512E-1	5.360000134E0	6.000000000E0	1.300000000E1
3.740496931E1	4.947862542E1	8.487893390E0	9.315101272E1	1.420000000E2	4.329999924E0	3.179999924E1	2.609390587E-1	5.360000134E0	6.000000000E0	1.300000000E1
3.842526827E1	4.947865683E1	8.487919640E0	9.315104921E1	1.420000000E2	3.299999952E0	3.270000076E1	2.642525386E-1	5.360000134E0	6.000000000E0	1.000000000E1
3.941491530E1	4.947868000E1	8.487948480E0	9.215107753E1	1.410000000E2	1.950000048E0	3.950000000E1	2.663473146E-1	6.432000160E0	8.000000000E0	1.200000000E1
4.040498446E1	4.947868325E1	8.487977040E0	9.215108515E1	1.410000000E2	1.580000043E0	4.470000076E1	2.686000748E-1	6.432000160E0	8.000000000E0	8.000000000E0
4.140244873E1	4.947869076E1	8.488006000E0	9.315109724E1	1.420000000E2	1.409999967E0	5.790000153E1	2.702866195E-1	7.504000187E0	8.000000000E0	1.100000000E1
4.240793202E1	4.947870178E1	8.488022040E0	9.415111106E1	1.430000000E2	8.700000048E-1	2.360000038E1	2.729876158E-1	7.504000187E0	8.000000000E0	1.200000000E1
4.340799774E1	4.947871763E1	8.488050370E0	9.415113171E1	1.430000000E2	9.300000072E-1	1.369999981E1	2.734605820E-1	7.504000187E0	8.000000000E0	1.200000000E1
4.440832300E1	4.947871869E1	8.488044030E0	9.315113187E1	1.420000000E2	6.600000262E-1	3.250000000E1	2.760951476E-1	9.648000717E0	8.000000000E0	1.300000000E1
4.540566873E1	4.947874105E1	8.488056090E0	9.315115686E1	1.420000000E2	1.149999976E0	3.582999878E2	2.780603335E-1	1.179199982E1	8.000000000E0	1.300000000E1
4.640742014E1	4.947872602E1	8.488041780E0	9.315113914E1	1.420000000E2	0.000000000E0	0.000000000E0	2.785897751E-1	1.179199982E1	1.200000000E1	1.200000000E1
4.740273300E1	4.947873075E1	8.488040940E0	9.315114392E1	1.420000000E2	0.000000000E0	0.000000000E0	2.790986788E-1	1.179199982E1	1.200000000E1	1.100000000E1
