"Time (s)"	"Latitude (°)"	"Longitude (°)"	"Height (m)"	"Height WGS84 (m)"	"Speed (m/s)"	"Direction (°)"	"Distance (km)"	"Horizontal Accuracy (m)"	"Vertical Accuracy (m)"	"Satellites"
1.524037421E2	4.948072419E1	8.485140470E0	1.031527800E2	1.520000000E2	0.000000000E0	0.000000000E0	6.964994273E-1	1.179199982E1	1.600000000E1	1.500000000E1
1.533974752E2	4.948072152E1	8.485144080E0	1.031527777E2	1.520000000E2	0.000000000E0	0.000000000E0	6.968199664E-1	1.072000027E1	1.600000000E1	1.600000000E1
1.544000830E2	4.948071990E1	8.485147750E0	1.041527766E2	1.530000000E2	0.000000000E0	0.000000000E0	6.970630563E-1	1.072000027E1	1.600000000E1	1.500000000E1
1.554137788E2	4.948071931E1	8.485150990E0	1.041527765E2	1.530000000E2	0.000000000E0	0.000000000E0	6.973540805E-1	1.179199982E1	1.600000000E1	1.400000000E1
1.564110939E2	4.948071846E1	8.485154800E0	1.051527762E2	1.540000000E2	0.000000000E0	0.000000000E0	6.974968504E-1	1.179199982E1	1.600000000E1	1.500000000E1
1.574053911E2	4.948071793E1	8.485153000E0	1.051527753E2	1.540000000E2	0.000000000E0	0.000000000E0	6.975511084E-1	1.179199982E1	1.600000000E1	1.500000000E1
1.584039234E2	4.948071762E1	8.485152420E0	1.051527749E2	1.540000000E2	0.000000000E0	0.000000000E0	6.977090341E-1	1.072000027E1	1.600000000E1	1.500000000E1
1.593956817E2	4.948071626E1	8.485151790E0	1.051527734E2	1.540000000E2	0.000000000E0	0.000000000E0	6.978135304E-1	1.072000027E1	1.600000000E1	1.500000000E1
1.603989891E2	4.948071658E1	8.485150430E0	1.041527736E2	1.530000000E2	0.000000000E0	0.000000000E0	6.979140757E-1	1.072000027E1	1.600000000E1	1.500000000E1
1.613982235E2	4.948071746E1	8.485150110E0	1.051527744E2	1.540000000E2	0.000000000E0	0.000000000E0	6.982544100E-1	1.072000027E1	1.600000000E1	1.600000000E1
1.624007797E2	4.948071455E1	8.485148650E0	1.061527712E2	1.550000000E2	0.000000000E0	0.000000000E0	6.984201926E-1	1.072000027E1	1.600000000E1	1.600000000E1
1.634071864E2	4.948071522E1	8.485146600E0	1.051527716E2	1.540000000E2	0.000000000E0	0.000000000E0	6.985414672E-1	1.072000027E1	1.600000000E1	1.600000000E1
1.644033899E2	4.948071489E1	8.485145000E0	1.051527710E2	1.540000000E2	0.000000000E0	0.000000000E0	7.020068045E-1	1.072000027E1	1.600000000E1	1.700000000E1
1.654058479E2	4.948072721E1	8.485100940E0	1.061527772E2	1.550000000E2	2.039999962E0	3.066000061E2	7.064786530E-1	1.072000027E1	1.600000000E1	1.700000000E1
1.664086875E2	4.948073885E1	8.485041690E0	1.071527805E2	1.560000000E2	2.769999981E0	2.997999878E2	7.107125572E-1	1.072000027E1	1.200000000E1	1.700000000E1
1.674077788E2	4.948075245E1	8.484986950E0	1.081527864E2	1.570000000E2	3.759999990E0	2.987999878E2	7.154975510E-1	1.072000027E1	1.200000000E1	1.700000000E1
1.684086388E2	4.948077106E1	8.484927230E0	1.111527968E2	1.600000000E2	4.860000134E0	2.985000000E2	7.238043689E-1	1.072000027E1	1.200000000E1	1.700000000E1
1.694057088E2	4.948079309E1	8.484817360E0	1.081528033E2	1.570000000E2	5.840000153E0	2.948999939E2	7.307592718E-1	1.072000027E1	1.200000000E1	1.600000000E1
1.704021076E2	4.948081590E1	8.484727720E0	1.081528136E2	1.570000000E2	6.670000076E0	2.927000122E2	7.397587686E-1	1.072000027E1	1.200000000E1	1.600000000E1
1.714019382E2	4.948085814E1	8.484621460E0	1.071528416E2	1.560000000E2	7.820000172E0	3.012999878E2	7.483118478E-1	1.072000027E1	1.200000000E1	1.600000000E1
1.724084385E2	4.948090100E1	8.484523150E0	1.071528714E2	1.560000000E2	8.239999771E0	3.020000000E2	7.576358584E-1	1.179199982E1	1.200000000E1	1.700000000E1
1.734057642E2	4.948094251E1	8.484411010E0	1.061528978E2	1.550000000E2	8.640000343E0	3.008999939E2	7.663800161E-1	1.179199982E1	1.200000000E1	1.700000000E1
1.744153410E2	4.948096133E1	8.484293490E0	1.071528998E2	1.560000000E2	8.609999657E0	2.957000122E2	7.773044041E-1	1.286400032E1	1.200000000E1	1.600000000E1
1.754316019E2	4.948093106E1	8.484149630E0	1.061528470E2	1.550000000E2	8.500000000E0	2.863999939E2	7.886925515E-1	1.286400032E1	8.000000000E0	1.700000000E1
1.764298140E2	4.948097728E1	8.484008960E0	1.061528740E2	1.550000000E2	9.760000229E0	2.927999878E2	7.992268241E-1	1.286400032E1	8.000000000E0	1.700000000E1
1.774115460E2	4.948103155E1	8.483889440E0	1.051529125E2	1.540000000E2	9.529999733E0	2.988999939E2	8.104126638E-1	1.179199982E1	8.000000000E0	1.700000000E1
1.784091010E2	4.948107105E1	8.483747040E0	1.041529323E2	1.530000000E2	1.060000038E1	2.992000122E2	8.213386998E-1	1.072000027E1	8.000000000E0	1.700000000E1
1.794069575E2	4.948112528E1	8.483620920E0	1.041529697E2	1.530000000E2	1.064000034E1	3.005000000E2	8.301557196E-1	1.179199982E1	1.200000000E1	1.700000000E1
1.804062683E2	4.948117342E1	8.483523940E0	1.031530052E2	1.520000000E2	1.007999992E1	3.017000122E2	8.393899550E-1	1.179199982E1	1.200000000E1	1.700000000E1
1.814082693E2	4.948122980E1	8.483430090E0	1.031530497E2	1.520000000E2	9.930000305E0	3.042000122E2	8.515279297E-1	1.286400032E1	1.200000000E1	1.700000000E1
1.824097251E2	4.948129268E1	8.483292750E0	1.021530945E2	1.510000000E2	1.026000023E1	3.046000061E2	8.613194805E-1	1.286400032E1	8.000000000E0	1.700000000E1
1.834087328E2	4.948134063E1	8.483179070E0	1.021531273E2	1.510000000E2	1.002000046E1	3.045000000E2	8.699672659E-1	1.393600082E1	1.200000000E1	1.700000000E1
1.844092837E2	4.948139857E1	8.483099220E0	1.021531755E2	1.510000000E2	9.529999733E0	3.077999878E2	8.822856644E-1	1.393600082E1	1.200000000E1	1.600000000E1
1.854195424E2	4.948146813E1	8.482966510E0	1.021532278E2	1.510000000E2	1.027999973E1	3.075000000E2	8.905656378E-1	1.500800037E1	1.200000000E1	1.600000000E1
1.864224410E2	4.948148864E1	8.482856330E0	1.021532327E2	1.510000000E2	9.750000000E0	3.047000122E2	9.004508509E-1	1.286400032E1	8.000000000E0	1.600000000E1
1.874162497E2	4.948147293E1	8.482721650E0	1.001531964E2	1.490000000E2	9.359999657E0	2.965000000E2	9.117530383E-1	1.179199982E1	8.000000000E0	1.600000000E1
1.884109044E2	4.948151853E1	8.482581830E0	1.011532228E2	1.500000000E2	1.046000004E1	2.971000061E2	9.222810753E-1	1.286400032E1	8.000000000E0	1.600000000E1
1.894089740E2	4.948155938E1	8.482450360E0	1.011532456E2	1.500000000E2	1.068000031E1	2.965000000E2	9.355128570E-1	1.393600082E1	8.000000000E0	1.700000000E1
1.904033415E2	4.948162631E1	8.482298920E0	1.021532925E2	1.510000000E2	1.139000034E1	2.988999939E2	9.446148445E-1	1.500800037E1	1.200000000E1	1.700000000E1
1.914069463E2	4.948166882E1	8.482191250E0	1.031533205E2	1.520000000E2	1.064999962E1	3.007000122E2	9.542146354E-1	1.500800037E1	1.200000000E1	1.600000000E1
1.924175584E2	4.948172850E1	8.482095230E0	1.041533681E2	1.530000000E2	9.869999886E0	3.056000061E2	9.652841627E-1	1.393600082E1	1.200000000E1	1.600000000E1
1.934086052E2	4.948177985E1	8.481963960E0	1.051534018E2	1.540000000E2	9.210000038E0	3.043999939E2	9.747766360E-1	1.393600082E1	1.200000000E1	1.600000000E1
1.944109240E2	4.948182446E1	8.481851930E0	1.051534314E2	1.540000000E2	9.239999771E0	3.041000061E2	9.848134839E-1	1.393600082E1	1.200000000E1	1.500000000E1
1.954149313E2	4.948188423E1	8.481747820E0	1.061534778E2	1.550000000E2	9.449999809E0	3.048999939E2	9.940423113E-1	1.286400032E1	1.200000000E1	1.400000000E1
1.964093325E2	4.948193142E1	8.481642730E0	1.061535111E2	1.550000000E2	9.100000381E0	3.060000000E2	1.003187460E0	1.286400032E1	1.200000000E1	1.400000000E1
1.973996922E2	4.948196441E1	8.481526770E0	1.061535281E2	1.550000000E2	9.229999542E0	3.023999939E2	1.012736459E0	1.286400032E1	1.200000000E1	1.400000000E1
1.984000400E2	4.948201619E1	8.481421320E0	1.061535661E2	1.550000000E2	8.869999886E0	3.096000061E2	1.022769484E0	1.286400032E1	1.200000000E1	1.400000000E1
1.994035076E2	4.948205726E1	8.481297660E0	1.051535902E2	1.540000000E2	9.159999847E0	3.013999939E2	1.031620351E0	1.179199982E1	1.200000000E1	1.300000000E1
2.004213687E2	4.948208570E1	8.481183230E0	1.071536027E2	1.560000000E2	9.000000000E0	3.015000000E2	1.039884151E0	1.286400032E1	1.200000000E1	1.400000000E1
2.014067325E2	4.948209809E1	8.481070440E0	1.041535987E2	1.530000000E2	8.720000267E0	2.972000122E2	1.050139006E0	1.286400032E1	8.000000000E0	1.400000000E1
2.024154834E2	4.948210806E1	8.480929320E0	1.041535880E2	1.530000000E2	9.189999580E0	2.977999878E2	1.064689480E0	1.286400032E1	8.000000000E0	1.500000000E1
2.034212673E2	4.948217029E1	8.480752140E0	1.031536262E2	1.520000000E2	1.051000023E1	2.976000061E2	1.076810828E0	1.393600082E1	8.000000000E0	1.500000000E1
2.044159418E2	4.948221564E1	8.480599560E0	1.031536505E2	1.520000000E2	1.121000004E1	2.958999939E2	1.082786682E0	1.500800037E1	1.200000000E1	1.500000000E1
2.054076802E2	4.948225098E1	8.480537240E0	1.031536778E2	1.520000000E2	9.890000343E0	2.982999878E2	1.093372576E0	1.607999992E1	1.200000000E1	1.500000000E1
2.064066610E2	4.948229104E1	8.480404310E0	1.031536996E2	1.520000000E2	9.430000305E0	3.015000000E2	1.100392317E0	1.393600082E1	1.200000000E1	1.500000000E1
2.074052755E2	4.948231617E1	8.480315170E0	1.051537123E2	1.540000000E2	7.690000057E0	2.980000000E2	1.108794766E0	1.286400032E1	1.200000000E1	1.500000000E1
2.084045496E2	4.948234391E1	8.480206980E0	1.041537250E2	1.530000000E2	8.510000229E0	2.952999878E2	1.118232293E0	1.393600082E1	1.200000000E1	1.500000000E1
2.094005245E2	4.948239432E1	8.480101880E0	1.041537616E2	1.530000000E2	8.510000229E0	3.011000061E2	1.126246941E0	1.286400032E1	1.200000000E1	1.600000000E1
2.104023243E2	4.948241374E1	8.479995040E0	1.031537658E2	1.520000000E2	8.119999886E0	3.000000000E2	1.132947239E0	1.286400032E1	1.200000000E1	1.600000000E1
2.114020323E2	4.948243944E1	8.479911150E0	1.041537800E2	1.530000000E2	7.969999790E0	2.997000122E2	1.141160042E0	1.393600082E1	1.200000000E1	1.600000000E1
2.124076613E2	4.948247813E1	8.479814310E0	1.041538057E2	1.530000000E2	8.050000191E0	3.003999939E2	1.148222929E0	1.393600082E1	1.200000000E1	1.600000000E1
2.134042020E2	4.948251468E1	8.479734350E0	1.041538317E2	1.530000000E2	7.679999828E0	3.027000122E2	1.156665069E0	1.393600082E1	1.200000000E1	1.500000000E1
2.144056377E2	4.948257661E1	8.479666750E0	1.051538858E2	1.540000000E2	6.659999847E0	3.075000000E2	1.164120350E0	1.286400032E1	1.200000000E1	1.500000000E1
2.154263114E2	4.948263973E1	8.479631950E0	1.041539460E2	1.530000000E2	6.480000019E0	3.106000061E2	1.170878120E0	1.179199982E1	8.000000000E0	1.500000000E1
2.164314842E2	4.948266315E1	8.479545630E0	1.031539575E2	1.520000000E2	6.309999943E0	2.996000061E2	1.180281144E0	1.286400032E1	8.000000000E0	1.700000000E1
2.174212342E2	4.948269766E1	8.479426800E0	1.021539755E2	1.510000000E2	7.110000134E0	2.968999939E2	1.182369856E0	1.286400032E1	8.000000000E0	1.600000000E1
2.184067159E2	4.948271450E1	8.479413990E0	1.031539911E2	1.520000000E2	3.269999981E0	3.105000000E2	1.185786337E0	1.179199982E1	8.000000000E0	1.800000000E1
2.194136289E2	4.948272837E1	8.479371790E0	1.041539992E2	1.530000000E2	3.349999905E0	3.087999878E2	1.188438790E0	1.179199982E1	8.000000000E0	1.800000000E1
2.204202470E2	4.948274284E1	8.479342600E0	1.051540098E2	1.540000000E2	2.769999981E0	3.122000122E2	1.191558935E0	1.393600082E1	1.200000000E1	1.800000000E1
2.214038353E2	4.948275088E1	8.479301220E0	1.051540120E2	1.540000000E2	2.420000076E0	3.107999878E2	1.194359154E0	1.607999992E1	1.200000000E1	1.800000000E1
2.224060346E2	4.948274156E1	8.479265210E0	1.071539970E2	1.560000000E2	2.079999924E0	2.971000061E2	1.196390072E0	1.929600143E1	1.200000000E1	1.800000000E1
2.234062019E2	4.948274410E1	8.479237370E0	1.081539955E2	1.570000000E2	1.789999962E0	2.961000061E2	1.197819018E0	2.251200104E1	1.200000000E1	1.700000000E1
2.244014166E2	4.948275518E1	8.479227350E0	1.071540055E2	1.560000000E2	1.360000014E0	3.067000122E2	1.202734318E0	2.572800064E1	1.200000000E1	1.500000000E1
2.254115665E2	4.948271608E1	8.479195610E0	1.081539602E2	1.570000000E2	1.080000043E0	2.750000000E2	1.208330023E0	2.465600014E1	1.200000000E1	1.500000000E1
2.264193309E2	4.948266701E1	8.479178430E0	1.081539068E2	1.570000000E2	9.599999785E-1	2.315000000E2	1.212483223E0	2.358399963E1	1.200000000E1	1.400000000E1
2.274188131E2	4.948263182E1	8.479159160E0	1.071538674E2	1.560000000E2	9.900000095E-1	2.098000031E2	1.215113767E0	2.251200104E1	1.200000000E1	1.400000000E1
2.284025540E2	4.948260835E1	8.479154590E0	1.071538424E2	1.560000000E2	1.240000010E0	1.951000061E2	1.219505202E0	2.144000053E1	1.200000000E1	1.400000000E1
2.294043608E2	4.948256890E1	8.479151750E0	1.071538011E2	1.560000000E2	2.190000057E0	1.828999939E2	1.223707008E0	2.358399963E1	1.200000000E1	1.500000000E1
2.304113509E2	4.948253222E1	8.479137770E0	1.071537610E2	1.560000000E2	1.909999967E0	1.903000031E2	1.225470172E0	2.144000053E1	1.200000000E1	1.500000000E1
2.314075133E2	4.948252014E1	8.479121960E0	1.071537461E2	1.560000000E2	2.500000000E-1	1.916000061E2	1.226732976E0	1.715200043E1	1.200000000E1	1.500000000E1
2.324065405E2	4.948251520E1	8.479106220E0	1.061537386E2	1.550000000E2	1.700000018E-1	1.993000031E2	1.227840392E0	1.500800037E1	1.200000000E1	1.400000000E1
2.334030916E2	4.948250971E1	8.479093430E0	1.061537310E2	1.550000000E2	0.000000000E0	0.000000000E0	1.228672215E0	1.393600082E1	1.200000000E1	1.200000000E1
2.344103110E2	4.948250992E1	8.479081920E0	1.071537295E2	1.560000000E2	2.599999905E-1	3.442999878E2	1.229340529E0	1.393600082E1	1.200000000E1	1.300000000E1
2.353990275E2	4.948251371E1	8.479074740E0	1.061537324E2	1.550000000E2	0.000000000E0	0.000000000E0	1.230163136E0	1.393600082E1	1.200000000E1	1.400000000E1
2.363975736E2	4.948251234E1	8.479063550E0	1.061537293E2	1.550000000E2	0.000000000E0	0.000000000E0	1.230913105E0	1.286400032E1	1.200000000E1	1.400000000E1
2.374086587E2	4.948250968E1	8.479054010E0	1.061537251E2	1.550000000E2	0.000000000E0	0.000000000E0	1.231264714E0	1.286400032E1	1.200000000E1	1.400000000E1
2.384038372E2	4.948251007E1	8.479049180E0	1.061537248E2	1.550000000E2	0.000000000E0	0.000000000E0	1.231796437E0	1.286400032E1	1.200000000E1	1.300000000E1
2.394047011E2	4.948250594E1	8.479045470E0	1.061537200E2	1.550000000E2	0.000000000E0	0.000000000E0	1.232618082E0	1.286400032E1	1.200000000E1	1.400000000E1
2.404060735E2	4.948249857E1	8.479044650E0	1.061537122E2	1.550000000E2	0.000000000E0	0.000000000E0	1.233558841E0	1.286400032E1	1.200000000E1	1.400000000E1
2.414021331E2	4.948249016E1	8.479046070E0	1.051537037E2	1.540000000E2	0.000000000E0	0.000000000E0	1.233906569E0	1.286400032E1	1.200000000E1	1.400000000E1
2.424022314E2	4.948248847E1	8.479050120E0	1.051537026E2	1.540000000E2	0.000000000E0	0.000000000E0	1.234190765E0	1.286400032E1	1.200000000E1	1.400000000E1
2.434133791E2	4.948248636E1	8.479052340E0	1.051537007E2	1.540000000E2	0.000000000E0	0.000000000E0	1.234531261E0	1.179199982E1	1.200000000E1	1.400000000E1
2.444173560E2	4.948248854E1	8.479055650E0	1.061537035E2	1.550000000E2	0.000000000E0	0.000000000E0	1.235397070E0	1.179199982E1	1.200000000E1	1.400000000E1
2.454081907E2	4.948249627E1	8.479057090E0	1.071537117E2	1.560000000E2	0.000000000E0	0.000000000E0	1.240901638E0	1.179199982E1	1.200000000E1	1.400000000E1
2.464025988E2	4.948253731E1	8.479014480E0	1.071537479E2	1.560000000E2	6.179999828E0	3.045000000E2	1.247886639E0	1.179199982E1	1.200000000E1	1.500000000E1
2.474006606E2	4.948256749E1	8.478929680E0	1.051537665E2	1.540000000E2	6.289999962E0	3.041000061E2	1.255815729E0	1.286400032E1	1.200000000E1	1.400000000E1
2.484109238E2	4.948261505E1	8.478847900E0	1.061538037E2	1.550000000E2	6.590000153E0	3.025000000E2	1.264015691E0	1.179199982E1	1.200000000E1	1.400000000E1
2.494156882E2	4.948265905E1	8.478756810E0	1.071538357E2	1.560000000E2	6.860000134E0	2.998999939E2	1.270845900E0	1.286400032E1	1.200000000E1	1.400000000E1
2.503987293E2	4.948268924E1	8.478674470E0	1.081538548E2	1.570000000E2	6.280000210E0	3.027000122E2	1.277325001E0	1.286400032E1	1.200000000E1	1.300000000E1
2.513990113E2	4.948272799E1	8.478607490E0	1.091538849E2	1.580000000E2	5.969999790E0	3.026000061E2	1.283118510E0	1.286400032E1	1.200000000E1	1.200000000E1
2.523983456E2	4.948275983E1	8.478544010E0	1.091539085E2	1.580000000E2	5.539999962E0	3.065000000E2	1.288638601E0	1.286400032E1	1.200000000E1	1.100000000E1
2.534070044E2	4.948277927E1	8.478473700E0	1.081539182E2	1.570000000E2	4.349999905E0	3.057000122E2	1.294890168E0	1.286400032E1	1.200000000E1	1.100000000E1
2.544102409E2	4.948282494E1	8.478423230E0	1.091539580E2	1.580000000E2	4.329999924E0	3.065000000E2	1.298215059E0	1.286400032E1	1.200000000E1	1.100000000E1
2.554027031E2	4.948284765E1	8.478393290E0	1.101539771E2	1.590000000E2	2.690000057E0	3.051000061E2	1.301160649E0	1.286400032E1	1.200000000E1	1.200000000E1
2.564031425E2	4.948286687E1	8.478365230E0	1.111539928E2	1.600000000E2	2.640000105E0	3.071000061E2	1.306122519E0	1.286400032E1	1.200000000E1	1.300000000E1
2.573990090E2	4.948289734E1	8.478315050E0	1.131540169E2	1.620000000E2	3.069999933E0	3.001000061E2	1.310404929E0	1.286400032E1	1.200000000E1	1.300000000E1
2.584038651E2	4.948292107E1	8.478268360E0	1.131540346E2	1.620000000E2	3.500000000E0	3.077000122E2	1.316025225E0	1.179199982E1	1.200000000E1	1.300000000E1
2.594087963E2	4.948295124E1	8.478205940E0	1.131540566E2	1.620000000E2	4.219999790E0	3.062000122E2	1.321417160E0	1.179199982E1	1.200000000E1	1.400000000E1
2.603988763E2	4.948298385E1	8.478150700E0	1.131540821E2	1.620000000E2	4.699999809E0	3.080000000E2	1.327116649E0	1.179199982E1	1.200000000E1	1.400000000E1
2.614000086E2	4.948302411E1	8.478101870E0	1.121541166E2	1.610000000E2	4.789999962E0	3.117000122E2	1.338977940E0	1.179199982E1	1.200000000E1	1.500000000E1
2.624022931E2	4.948313076E1	8.478105140E0	1.141542277E2	1.630000000E2	5.210000038E0	3.387000122E2	1.344743994E0	1.179199982E1	1.200000000E1	1.400000000E1
2.634048116E2	4.948318023E1	8.478081210E0	1.121542754E2	1.610000000E2	5.849999905E0	3.448999939E2	1.350830008E0	1.179199982E1	8.000000000E0	1.300000000E1
2.644150904E2	4.948323321E1	8.478060060E0	1.121543272E2	1.610000000E2	5.929999828E0	3.447999878E2	1.363213532E0	1.286400032E1	8.000000000E0	1.300000000E1
2.654074064E2	4.948334214E1	8.478095730E0	1.121544454E2	1.610000000E2	7.849999905E0	3.586000061E2	1.376181477E0	1.179199982E1	8.000000000E0	1.200000000E1
2.663998188E2	4.948345864E1	8.478103990E0	1.101545674E2	1.590000000E2	8.140000343E0	3.562000122E2	1.385909657E0	1.179199982E1	8.000000000E0	1.100000000E1
2.673954707E2	4.948354447E1	8.478077900E0	1.101546525E2	1.590000000E2	7.679999828E0	3.467000122E2	1.395778489E0	1.179199982E1	8.000000000E0	1.200000000E1
2.684048754E2	4.948363296E1	8.478067400E0	1.091547427E2	1.580000000E2	7.579999924E0	3.473999939E2	1.405498389E0	1.179199982E1	8.000000000E0	1.100000000E1
2.693999183E2	4.948371956E1	8.478049090E0	1.091548297E2	1.580000000E2	7.690000057E0	3.477999878E2	1.416342698E0	1.286400032E1	8.000000000E0	1.000000000E1
2.704016696E2	4.948378955E1	8.477944550E0	1.091548867E2	1.580000000E2	8.119999886E0	3.356000061E2	1.424310124E0	1.286400032E1	8.000000000E0	9.000000000E0
2.714042478E2	4.948386058E1	8.477959060E0	1.061549625E2	1.550000000E2	8.300000191E0	3.315000000E2	1.434170309E0	1.179199982E1	8.000000000E0	1.100000000E1
2.724194038E2	4.948392391E1	8.477863520E0	1.041550139E2	1.530000000E2	8.500000000E0	3.257999878E2	1.444416411E0	1.179199982E1	8.000000000E0	1.300000000E1
2.734168931E2	4.948398741E1	8.477760740E0	1.031550644E2	1.520000000E2	8.569999695E0	3.170000000E2	1.455136252E0	1.286400032E1	8.000000000E0	1.300000000E1
2.744023899E2	4.948404574E1	8.477642590E0	1.021551073E2	1.510000000E2	8.899999619E0	3.135000000E2	1.466244529E0	1.286400032E1	8.000000000E0	1.300000000E1
2.754052468E2	4.948411821E1	8.477536750E0	1.031551666E2	1.520000000E2	8.880000114E0	3.160000000E2	1.473579715E0	1.393600082E1	8.000000000E0	1.300000000E1
2.764036385E2	4.948417523E1	8.477485690E0	1.031552181E2	1.520000000E2	8.550000191E0	3.207999878E2	1.481468472E0	1.393600082E1	8.000000000E0	1.300000000E1
2.774002596E2	4.948423517E1	8.477427270E0	1.011552715E2	1.500000000E2	8.060000420E0	3.172000122E2	1.491154633E0	1.286400032E1	8.000000000E0	1.200000000E1
2.784041942E2	4.948432116E1	8.477405840E0	9.915535750E1	1.480000000E2	7.820000172E0	3.226000061E2	1.502424956E0	1.286400032E1	8.000000000E0	1.200000000E1
2.794254464E2	4.948436427E1	8.477264640E0	9.915538114E1	1.480000000E2	8.850000381E0	3.057999878E2	1.508455872E0	1.179199982E1	6.000000000E0	1.400000000E1
2.804200491E2	4.948438913E1	8.477190440E0	9.715539585E1	1.460000000E2	8.189999580E0	3.035000000E2	1.516262646E0	1.179199982E1	6.000000000E0	1.400000000E1
2.814069253E2	4.948443431E1	8.477107720E0	9.615543035E1	1.450000000E2	7.289999962E0	3.066000061E2	1.524202133E0	1.072000027E1	6.000000000E0	1.500000000E1
2.824055282E2	4.948447868E1	8.477021610E0	9.615546351E1	1.450000000E2	7.190000057E0	3.065000000E2	1.531792272E0	1.072000027E1	6.000000000E0	1.500000000E1
2.834069160E2	4.948450151E1	8.476922590E0	9.615547242E1	1.450000000E2	7.119999886E0	3.027000122E2	1.539621365E0	1.179199982E1	8.000000000E0	1.600000000E1
2.844200946E2	4.948451982E1	8.476817940E0	9.715547580E1	1.460000000E2	7.650000095E0	2.972999878E2	1.546949442E0	1.179199982E1	8.000000000E0	1.600000000E1
2.854226918E2	4.948452035E1	8.476716500E0	9.615546122E1	1.450000000E2	7.510000229E0	2.865000000E2	1.554981722E0	1.179199982E1	8.000000000E0	1.700000000E1
2.864108303E2	4.948454737E1	8.476613380E0	9.715547386E1	1.460000000E2	7.199999809E0	2.873999939E2	1.560953235E0	1.179199982E1	6.000000000E0	1.500000000E1
2.874234849E2	4.948459648E1	8.476579930E0	9.515551978E1	1.440000000E2	4.630000114E0	2.956000061E2	1.563722799E0	1.072000027E1	6.000000000E0	1.500000000E1
2.884081960E2	4.948459818E1	8.476541680E0	9.615551584E1	1.450000000E2	3.170000076E0	2.908999939E2	1.565333124E0	1.072000027E1	6.000000000E0	1.500000000E1
2.894172769E2	4.948461266E1	8.476541310E0	9.615553080E1	1.450000000E2	1.659999967E0	3.212999878E2	1.566700719E0	1.072000027E1	6.000000000E0	1.500000000E1
2.904184766E2	4.948462357E1	8.476532570E0	9.615554080E1	1.450000000E2	1.629999995E0	3.135000000E2	1.569800974E0	1.072000027E1	6.000000000E0	1.500000000E1
2.914025023E2	4.948464690E1	8.476509070E0	9.615556148E1	1.450000000E2	2.000000000E0	3.126000061E2	1.571695776E0	1.072000027E1	8.000000000E0	1.500000000E1
2.924045801E2	4.948465968E1	8.476491720E0	9.615557214E1	1.450000000E2	2.240000010E0	3.086000061E2	1.574845189E0	1.072000027E1	6.000000000E0	1.700000000E1
2.934074947E2	4.948467395E1	8.476454060E0	9.715558132E1	1.460000000E2	2.829999924E0	3.010000000E2	1.576401855E0	1.072000027E1	8.000000000E0	1.700000000E1
2.944258931E2	4.948467336E1	8.476432530E0	9.615557750E1	1.450000000E2	2.420000076E0	2.896000061E2	1.581479169E0	1.179199982E1	8.000000000E0	1.700000000E1
2.954187982E2	4.948469393E1	8.476369780E0	9.915558947E1	1.480000000E2	3.359999895E0	2.952000122E2	1.592277333E0	1.179199982E1	8.000000000E0	1.700000000E1
2.964105897E2	4.948475723E1	8.476256420E0	9.915563818E1	1.480000000E2	5.639999866E0	3.015000000E2	1.601168969E0	1.286400032E1	8.000000000E0	1.700000000E1
2.974079392E2	4.948481225E1	8.476167100E0	9.815568190E1	1.470000000E2	6.320000172E0	3.021000061E2	1.606932847E0	1.179199982E1	8.000000000E0	1.700000000E1
2.984041503E2	4.948482956E1	8.476091890E0	9.715568863E1	1.460000000E2	5.969999790E0	2.930000000E2	1.613855615E0	1.072000027E1	6.000000000E0	1.700000000E1
2.994084707E2	4.948485527E1	8.476004610E0	9.715570227E1	1.460000000E2	6.119999886E0	2.922999878E2	1.618378228E0	1.072000027E1	6.000000000E0	1.600000000E1
3.004107824E2	4.948487182E1	8.475947420E0	9.515571089E1	1.440000000E2	5.360000134E0	2.977000122E2	1.625433532E0	1.072000027E1	6.000000000E0	1.700000000E1
3.014114895E2	4.948491326E1	8.475873460E0	9.515574282E1	1.440000000E2	5.849999905E0	3.017999878E2	1.629516069E0	9.648000717E0	6.000000000E0	1.700000000E1
3.024257062E2	4.948493057E1	8.475823620E0	9.515575333E1	1.440000000E2	5.920000076E0	3.012000122E2	1.635420243E0	1.072000027E1	6.000000000E0	1.700000000E1
3.034135744E2	4.948496870E1	8.475766740E0	9.615578438E1	1.450000000E2	5.679999828E0	3.027999878E2	1.637930724E0	1.072000027E1	6.000000000E0	1.700000000E1
3.044085114E2	4.948499126E1	8.475765380E0	9.515580756E1	1.440000000E2	3.819999933E0	3.118999939E2	1.648954708E0	1.179199982E1	6.000000000E0	1.700000000E1
3.054037310E2	4.948500975E1	8.475615450E0	9.415580437E1	1.430000000E2	6.400000095E0	2.962000122E2	1.654969131E0	1.072000027E1	6.000000000E0	1.700000000E1
3.064116357E2	4.948503840E1	8.475544830E0	9.415582354E1	1.430000000E2	6.000000000E0	3.027000122E2	1.662524529E0	1.072000027E1	6.000000000E0	1.400000000E1
3.074179863E2	4.948506499E1	8.475448580E0	9.215583675E1	1.410000000E2	5.820000172E0	2.998999939E2	1.668388696E0	1.072000027E1	6.000000000E0	1.300000000E1
3.084119606E2	4.948508380E1	8.475372740E0	9.315584494E1	1.420000000E2	5.940000057E0	2.982999878E2	1.673534697E0	1.072000027E1	6.000000000E0	1.300000000E1
